,DataSet,TotalFeat,Range,Round 1,Round 2,Round 3,Average
4765,CS,6805,4765,0.908942203,0.916030534,0.90785169,0.910941476
3063,CS,6805,3063,0.906215921,0.911668484,0.89912759,0.905670665
4078,CS,6805,4078,0.904034896,0.910577972,0.908942203,0.90785169
7660,CS,6805,7660,0.899471265,0.802884758,0.905516017,0.86929068
361,CS,6805,361,0.914940022,0.911123228,0.910577972,0.91221374
7459,CS,6805,7459,0.901915594,0.827325159,0.906849011,0.878696588
7002,CS,6805,7002,0.907473097,0.882893635,0.909879747,0.90008216
373,CS,6805,373,0.911123228,0.913304253,0.912758997,0.912395493
6781,CS,6805,6781,0.909487459,0.911123228,0.912758997,0.911123228
7639,CS,6805,7639,0.899726643,0.805438232,0.905655285,0.870273387
1144,CS,6805,1144,0.908942203,0.902944384,0.906761178,0.906215921
7511,CS,6805,7511,0.90128323,0.821002269,0.906504157,0.876263219
2304,CS,6805,2304,0.90785169,0.917121047,0.913304253,0.912758997
5368,CS,6805,5368,0.917121047,0.910577972,0.916030534,0.914576518
6451,CS,6805,6451,0.908396947,0.906761178,0.915485278,0.910214467
3530,CS,6805,3530,0.911123228,0.909487459,0.91221374,0.910941476
7254,CS,6805,7254,0.904408566,0.852251937,0.908208531,0.888289678
8117,CS,6805,8117,0.893913762,0.747316282,0.902485281,0.847905108
7169,CS,6805,7169,0.905442237,0.86258743,0.908772235,0.892267301
8295,CS,6805,8295,0.891749132,0.725672544,0.90130482,0.839575498
5003,CS,6805,5003,0.913304253,0.905670665,0.913304253,0.910759724
3678,CS,6805,3678,0.911123228,0.91221374,0.916030534,0.913122501
38,CS,6805,38,0.908942203,0.908942203,0.911668484,0.909850963
2024,CS,6805,2024,0.911668484,0.909487459,0.902399128,0.90785169
5119,CS,6805,5119,0.917666303,0.906761178,0.902399128,0.908942203
3008,CS,6805,3008,0.906215921,0.904034896,0.909487459,0.906579426
44,CS,6805,44,0.918211559,0.914940022,0.910032715,0.914394766
5779,CS,6805,5779,0.912758997,0.917666303,0.921483097,0.917302799
6656,CS,6805,6656,0.911123228,0.905125409,0.916575791,0.910941476
7599,CS,6805,7599,0.900213076,0.810301994,0.905920558,0.872145209
8314,CS,6805,8314,0.891518076,0.723362257,0.901178815,0.838686383
6757,CS,6805,6757,0.905670665,0.920937841,0.917121047,0.914576518
3913,CS,6805,3913,0.906761178,0.91221374,0.910577972,0.909850963
2306,CS,6805,2306,0.900763359,0.906761178,0.910577972,0.906034169
4894,CS,6805,4894,0.904034896,0.915485278,0.908942203,0.909487459
5651,CS,6805,5651,0.913304253,0.912758997,0.914394766,0.913486005
6011,CS,6805,6011,0.910577972,0.906215921,0.909487459,0.908760451
2088,CS,6805,2088,0.923664122,0.908942203,0.90785169,0.913486005
231,CS,6805,231,0.904580153,0.912758997,0.904580153,0.907306434
597,CS,6805,597,0.909487459,0.916575791,0.906761178,0.910941476
6784,CS,6805,6784,0.916575791,0.904580153,0.905125409,0.908760451
5450,CS,6805,5450,0.904580153,0.910032715,0.916030534,0.910214467
